,NOC,Name,Year,Sport,Medal
4067,ESP,Nely Carla Alberto Francisca,2012,Handball,Bronze
4073,DEN,Georg Albert Christian Albertsen,1920,Gymnastics,Gold
4078,SWE,Ebbe Gustav Bertil Albertsson (-Andersson),1948,Athletics,Bronze
4086,ITA,Abramo Albini,1968,Rowing,Bronze
4092,RUS,Islam-Beka Said-Tsilimovich Albiyev,2008,Wrestling,Gold
4111,SUI,mile Albrecht,1924,Rowing,Bronze
4112,SUI,mile Albrecht,1924,Rowing,Gold
4130,GDR,Sylvia Albrecht (-Heckendorf),1980,Speed Skating,Bronze
4146,SUI,Brigitte Albrecht-Loretan,2002,Cross Country Skiing,Bronze
4151,SWE,John Robert Albrechtson,1976,Sailing,Gold
4156,USA,"Tenley Emma Albright (-Gardiner, -Blakely)",1952,Figure Skating,Silver
4157,USA,"Tenley Emma Albright (-Gardiner, -Blakely)",1956,Figure Skating,Gold
4158,USA,"David Donald ""Dave"" Albritton",1936,Athletics,Silver
4160,URS,Anatoly Mikhaylovich Albul,1960,Wrestling,Bronze
4226,BRA,Aldair Nascimento dos Santos,1996,Football,Bronze
4227,CUB,Andrs Aldama Cabrera,1976,Boxing,Silver
4228,CUB,Andrs Aldama Cabrera,1980,Boxing,Gold
4255,GBR,Cyril Albert Alden,1920,Cycling,Silver
4256,GBR,Cyril Albert Alden,1920,Cycling,Silver
4257,GBR,Cyril Albert Alden,1924,Cycling,Silver
4268,USA,"Frederick Pitt ""Fred"" Alderman",1928,Athletics,Gold
4273,USA,"Joan ""Jody"" Alderson (-Braskamp)",1952,Swimming,Bronze
4299,ESP,David Alegre Biosca,2008,Hockey,Silver
4304,ESP,Ramn Alegre Biosca,2008,Hockey,Silver
4317,NZL,Jo Qesem Ayela Aleh,2012,Sailing,Gold
4318,NZL,Jo Qesem Ayela Aleh,2016,Sailing,Silver
4326,LTU,Virgilijus Alekna,2000,Athletics,Gold
4327,LTU,Virgilijus Alekna,2004,Athletics,Gold
4328,LTU,Virgilijus Alekna,2008,Athletics,Bronze
4334,URS,Boris Viktorovich Aleksandrov,1976,Ice Hockey,Gold
4360,BUL,Rumen Aleksandrov,1980,Weightlifting,Silver
4363,URS,Veniamin Veniaminovich Aleksandrov,1960,Ice Hockey,Bronze
4364,URS,Veniamin Veniaminovich Aleksandrov,1964,Ice Hockey,Gold
4365,URS,Veniamin Veniaminovich Aleksandrov,1968,Ice Hockey,Gold
4366,URS,Vladimir Petrovich Aleksandrov,1984,Bobsleigh,Bronze
4379,URS,Larisa Aleksandrova-Popova,1976,Rowing,Silver
4380,URS,Larisa Aleksandrova-Popova,1980,Rowing,Gold
4382,ARM,Artur Aleksanyan,2012,Wrestling,Bronze
4383,ARM,Artur Aleksanyan,2016,Wrestling,Gold
4404,URS,Vasily Ivanovich Alekseyev,1972,Weightlifting,Gold
4405,URS,Vasily Ivanovich Alekseyev,1976,Weightlifting,Gold
4410,URS,Galina Aleksandrovna Alekseyeva,1964,Diving,Bronze
4416,SRB,Milan Aleksi,2012,Water Polo,Bronze
4417,SRB,Milan Aleksi,2016,Water Polo,Gold
4457,BRA,Alessandra dos Santos de Oliveira,1996,Basketball,Silver
4458,BRA,Alessandra dos Santos de Oliveira,2000,Basketball,Bronze
4471,USA,Hugh Vincenzo Alessandroni,1932,Fencing,Bronze
4475,GER,Karl Theophil Christian Aletter,1932,Rowing,Silver
4482,BRA,Alex Sandro Lobo Silva,2012,Football,Silver
4498,GBR,Gustav Bernhard Franck Alexander,1908,Lacrosse,Silver
4507,CAN,Lisa Alexander,1996,Synchronized Swimming,Silver
4508,GBR,Michael O'Donel Bjarne Alexander,1960,Fencing,Silver
4524,CAN,Buffy-Lynne Alexander-Williams,2000,Rowing,Bronze
4555,FRA,Marc Robert Alexandre,1984,Judo,Bronze
4556,FRA,Marc Robert Alexandre,1988,Judo,Gold
4561,BRA,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",2008,Football,Bronze
4562,BRA,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",2012,Football,Silver
4569,ROU,Constantin Alexandru,1980,Wrestling,Silver
4573,ROU,Ion Alexe,1972,Boxing,Silver
4583,URS,Vladimir Petrovich Aleynik,1976,Diving,Bronze
4584,URS,Vladimir Petrovich Aleynik,1980,Diving,Silver
4586,RUS,Yevgeny Vasilyevich Aleynikov,2000,Shooting,Bronze
4589,NIG,Abdoul Razak Issoufou Alfaga,2016,Taekwondo,Silver
4600,URS,Lidiya Nikolayevna Alfeyeva,1976,Athletics,Bronze
4612,ESP,Alfonso Prez Muoz,1992,Football,Gold
4623,USA,"Stephen Todd ""Steve"" Alford",1984,Basketball,Gold
4627,SWE,Axel Alfredsson,1924,Football,Bronze
4630,SWE,Hans Daniel Alfredsson,2006,Ice Hockey,Gold
4632,SWE,Hans Daniel Alfredsson,2014,Ice Hockey,Silver
4637,FIN,Max Ferdinand Alfthan,1912,Sailing,Bronze
4642,BRA,"Zenny ""Algodo"" de Azevedo",1948,Basketball,Bronze
4645,BRA,"Zenny ""Algodo"" de Azevedo",1960,Basketball,Bronze
4646,SWE,Ulf Hkan Gran Algotsson,1994,Ice Hockey,Gold
4658,SWE,Sara Anneli Algotsson Ostholt,2012,Equestrianism,Silver
4725,PAK,Nasir Ali,1984,Hockey,Gold
4727,USA,Nia Sifaatihii Ali,2016,Athletics,Silver
4732,IND,Shaukat Ali,1928,Hockey,Gold
4736,IND,Syed Mushtaq Ali,1964,Hockey,Gold
4753,FRA,mile Ali Khan,1920,Athletics,Silver
4765,IRI,Rahim Aliabadi,1972,Wrestling,Silver
4767,FRA,Gaston Jules Louis Antoine Alibert,1908,Fencing,Gold
4768,FRA,Gaston Jules Louis Antoine Alibert,1908,Fencing,Gold
4784,RUS,Sergey Gennadyevich Alifirenko,2000,Shooting,Gold
4785,RUS,Sergey Gennadyevich Alifirenko,2004,Shooting,Bronze
4788,URS,Vladimir Aleksandrovich Alikin,1980,Biathlon,Silver
4790,URS,Vladimir Aleksandrovich Alikin,1980,Biathlon,Gold
4793,CRO,Mirko Alilovi,2012,Handball,Bronze
4805,BRA,Aline Pellegrino,2004,Football,Silver
4816,RUS,Aleksey Aleksandrovich Alipov,2004,Shooting,Gold
4817,RUS,Aleksey Aleksandrovich Alipov,2008,Shooting,Bronze
4821,GRE,Georgios Aliprantis,1906,Gymnastics,Gold
4824,BRA,Alison Conte Cerutti,2012,Beach Volleyball,Silver
4825,BRA,Alison Conte Cerutti,2016,Beach Volleyball,Gold
4832,NGR,Deji Aliu,2004,Athletics,Bronze
4835,RUS,Margarita Sergeyevna Aliychuk,2008,Rhythmic Gymnastics,Gold
4847,IRI,Kimia Alizadeh Zenoorin,2016,Taekwondo,Bronze
4877,BEL,Alphonse Allaert,1920,Archery,Silver
4878,BEL,Alphonse Allaert,1920,Archery,Gold
4879,BEL,Alphonse Allaert,1920,Archery,Gold
4880,EUN,Yuliya Yakunovna Allagulova,1992,Short Track Speed Skating,Bronze
4888,FRA,mile Allais,1936,Alpine Skiing,Bronze
4891,ALG,Mohamed Allalou,2000,Boxing,Bronze
4910,GBR,Peter Frank Allam,1984,Sailing,Bronze
4912,FRA,Olivier Allamand,1992,Freestyle Skiing,Silver
4916,GBR,Alister Millar Allan,1984,Shooting,Bronze
4918,GBR,Alister Millar Allan,1988,Shooting,Silver
4962,FRA,Richard Louis Pierre Allemane,1900,Football,Silver
4965,USA,"William Charles ""Bill"" Allen",1972,Sailing,Gold
4966,USA,John Chad Allen,1996,Baseball,Bronze
4994,AUT,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",2004,Triathlon,Gold
4996,AUS,"Kate Ruth ""Katie"" Allen",2000,Hockey,Gold
5028,JAM,Nathon Allen,2016,Athletics,Silver
5031,USA,Walter Ray Allen,2000,Basketball,Gold
5032,IND,Richard James Allen,1928,Hockey,Gold
5033,IND,Richard James Allen,1932,Hockey,Gold
5034,IND,Richard James Allen,1936,Hockey,Gold
5041,USA,"Scott Ethan ""Scotty"" Allen",1964,Figure Skating,Bronze
5043,USA,"Terence de la Mesa ""Terry"" Allen",1920,Polo,Bronze
5048,USA,Wyatt Allen,2004,Rowing,Gold
5049,USA,Wyatt Allen,2008,Rowing,Bronze
5050,AUS,"Sandra Louise ""Sandy"" Allen-Lewis",2000,Softball,Bronze
5051,AUS,"Sandra Louise ""Sandy"" Allen-Lewis",2004,Softball,Silver
5052,AUS,"Sandra Louise ""Sandy"" Allen-Lewis",2008,Softball,Bronze
5055,GBR,"Katherine Fiona ""Kate"" Allenby",2000,Modern Pentathlon,Bronze
5059,NOR,Arthur Allers,1920,Sailing,Gold
5061,DEN,Ejler Arild Emil Allert,1912,Rowing,Gold
5075,TTO,Ade Franci Alleyne-Forte,2012,Athletics,Bronze
5077,GBR,Derek Swithin Allhusen,1968,Equestrianism,Silver
5078,GBR,Derek Swithin Allhusen,1968,Equestrianism,Gold
5116,CAN,"Ian Alistair ""Al"" Allison",1936,Basketball,Silver
5126,GBR,"Edward Percival ""Percy"" Allman-Smith",1908,Hockey,Silver
5128,ITA,Antonio Allocchio,1920,Fencing,Gold
5147,USA,Lynne Marie Allsup (-Olson),1964,Swimming,Gold
5148,ITA,Carmela Allucci,2004,Water Polo,Gold
5178,SWE,Knut Emil Willehard Alm,1920,Athletics,Bronze
5233,SWE,"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",2002,Ice Hockey,Bronze
5279,URS,Aleksandr Davletovich Almetov,1960,Ice Hockey,Bronze
5280,URS,Aleksandr Davletovich Almetov,1964,Ice Hockey,Gold
5281,ARG,Matas Jess Almeyda,1996,Football,Silver
5282,SWE,"Gustav Adolf ""Gsta"" Almgren",1936,Fencing,Silver
5285,CAN,Almighty Voice,1904,Lacrosse,Bronze
5294,SWE,Erland Herman Lison Almkvist,1952,Sailing,Silver
5296,SWE,Erik Albin Almlf,1912,Athletics,Bronze
5297,SWE,Erik Albin Almlf,1920,Athletics,Bronze
5308,SWE,Gte Augustin Almqvist,1952,Ice Hockey,Bronze
5314,SWE,"Anders Percival ""Percy"" Almstedt",1920,Sailing,Silver
5317,SWE,Arvid Folke Alnevik (Andersson-),1948,Athletics,Bronze
5318,CMR,Nicolas Alnoudji,2000,Football,Gold
5323,BRA,Alosio Pires Alves,1988,Football,Silver
5350,ESP,Jessica Alonso Bernardo,2012,Handball,Bronze
5385,RUS,"Mikhail Surenovich ""Misha"" Aloyan",2012,Boxing,Bronze
5389,NGR,Glory Alozie Oluchi,2000,Athletics,Silver
5422,NOR,Thomas Alsgaard (Alsgrd-),1994,Cross Country Skiing,Gold
5423,NOR,Thomas Alsgaard (Alsgrd-),1994,Cross Country Skiing,Silver
5427,NOR,Thomas Alsgaard (Alsgrd-),1998,Cross Country Skiing,Gold
5428,NOR,Thomas Alsgaard (Alsgrd-),1998,Cross Country Skiing,Gold
5430,NOR,Thomas Alsgaard (Alsgrd-),2002,Cross Country Skiing,Gold
5431,NOR,Thomas Alsgaard (Alsgrd-),2002,Cross Country Skiing,Gold
5434,SWE,Malin Therse Alshammar,2000,Swimming,Silver
5435,SWE,Malin Therse Alshammar,2000,Swimming,Silver
5436,SWE,Malin Therse Alshammar,2000,Swimming,Bronze
5444,URS,Andrey Igorevich Alshan,1988,Fencing,Silver
5457,NOR,Ida Alstad,2012,Handball,Gold
5458,NOR,Ida Alstad,2016,Handball,Bronze
5461,SUI,Robert Alt,1956,Bobsleigh,Gold
5481,GER,Lutz Altepost,2008,Canoeing,Bronze
5490,GER,"Ingeburg ""Inge"" Althoff-Schwerzmann",1992,Rowing,Silver
5493,ITA,"Fernando ""Nando"" Altimani",1912,Athletics,Bronze
5502,SUI,Livia Altmann,2014,Ice Hockey,Bronze
5514,GBR,Jeannette Eleanor Altwegg (-Wirz),1948,Figure Skating,Bronze
5515,GBR,Jeannette Eleanor Altwegg (-Wirz),1952,Figure Skating,Gold
5562,CHI,Cristin Andrs lvarez Valenzuela,2000,Football,Bronze
5568,USA,"Eduardo C. ""Eddy"" Alvarez",2014,Short Track Speed Skating,Silver
5595,ESP,Jos Mara lvarez de las Asturias Bohorques y Goyeneche,1928,Equestrianism,Gold
5608,CUB,Jos Miguel lvarez Pozo,1972,Basketball,Bronze
5611,CUB,Lzaro Jorge lvarez Estrada,2012,Boxing,Bronze
5612,CUB,Lzaro Jorge lvarez Estrada,2016,Boxing,Bronze
5689,COL,Yuri Alvear Orjuela,2012,Judo,Bronze
5690,COL,Yuri Alvear Orjuela,2016,Judo,Silver
5700,ITA,Renzo Alver,1956,Bobsleigh,Silver
5701,ITA,Renzo Alver,1956,Bobsleigh,Silver
5720,BRA,Thiago Soares Alves,2012,Volleyball,Silver
5724,ITA,Alessandro Alvisi,1920,Equestrianism,Bronze
5728,ITA,Alessandro Alvisi,1924,Equestrianism,Bronze
5748,EGY,Mohamed Aly Reda,2004,Boxing,Silver
5760,URS,Anatoly Nikolayevich Alyabyev,1980,Biathlon,Bronze
5761,URS,Anatoly Nikolayevich Alyabyev,1980,Biathlon,Gold
5762,URS,Anatoly Nikolayevich Alyabyev,1980,Biathlon,Gold
5769,URS,Nikolay Aleksandrovich Alyokhin,1980,Fencing,Gold
5771,RUS,Maksim Nikolayevich Alyoshin,2000,Gymnastics,Bronze
5782,RUS,Ivan Vladimirovich Alypov,2006,Cross Country Skiing,Bronze
5789,LUX,"Joseph ""Jos"" Alzin",1920,Weightlifting,Silver
5813,GHA,Mamood Amadu,1992,Football,Bronze
5818,USA,Charles Aman,1904,Rowing,Silver
5823,ROU,Simona Amnar (-Tabr),1996,Gymnastics,Bronze
5824,ROU,Simona Amnar (-Tabr),1996,Gymnastics,Bronze
5825,ROU,Simona Amnar (-Tabr),1996,Gymnastics,Silver
5826,ROU,Simona Amnar (-Tabr),1996,Gymnastics,Gold
5829,ROU,Simona Amnar (-Tabr),2000,Gymnastics,Gold
5830,ROU,Simona Amnar (-Tabr),2000,Gymnastics,Gold
5831,ROU,Simona Amnar (-Tabr),2000,Gymnastics,Bronze
5838,GHA,Frank Amankwah,1992,Football,Bronze
5844,GER,Max Amann,1928,Water Polo,Gold
5852,URS,Ingrda Amantova,1980,Luge,Bronze
5860,BRA,"Alexandre ""Amaral"" da Silva Mariano",1996,Football,Bronze
5870,ITA,Catello Amarante,2004,Rowing,Bronze
5882,GHA,Prince Amartey,1972,Boxing,Bronze
5887,ESP,Jaime Santiago Amat Durn,1996,Hockey,Silver
5898,FRA,Jean-Pierre Bernard Andr Amat,1996,Shooting,Bronze
5899,FRA,Jean-Pierre Bernard Andr Amat,1996,Shooting,Gold
5906,ESP,Juan Amat Fontanals,1980,Hockey,Silver
5907,ESP,Pedro Amat Fontanals,1960,Hockey,Bronze
5910,ESP,"Pablo ""Pol"" Amat Escud",1996,Hockey,Silver
5913,ESP,"Pablo ""Pol"" Amat Escud",2008,Hockey,Silver
5918,ESP,Santiago Amat Cansino,1932,Sailing,Bronze
5925,ARG,Serena Bibiana Amato,2000,Sailing,Bronze
5928,BRA,Amauri Ribeiro,1984,Volleyball,Silver
5930,BRA,Amauri Ribeiro,1992,Volleyball,Gold
5932,BRA,Amaury Antnio Pasos,1960,Basketball,Bronze
5933,BRA,Amaury Antnio Pasos,1964,Basketball,Bronze
5934,ESP,Jos Emilio Amavisca Grate,1992,Football,Gold
5937,ESP,Ivn Amaya Carazo,2000,Football,Silver
5976,ITA,Amedeo Ambron,1960,Water Polo,Gold
5986,NGR,"Efetobore ""Efe"" Ambrose Emuobo",2008,Football,Silver
5987,ITA,Bianca Ambrosetti,1928,Gymnastics,Silver
5988,USA,Christie Ambrosi,2000,Softball,Gold
5992,ITA,Ernesto Ambrosini,1920,Athletics,Bronze
6014,HUN,Mikls Ambrus,1964,Water Polo,Gold
6041,SWE,Karl-Robert Ameln,1948,Sailing,Bronze
6043,GDR,Rolf-Dieter Amend,1972,Canoeing,Gold
6106,FRA,Sbastien Amiez,2002,Alpine Skiing,Silver
6136,URS,Slava Lvovich Amiragov,1952,Rowing,Silver
6151,ITA,Salvatore Amitrano,2004,Rowing,Bronze
6157,USA,"Joseph Brian ""Joe"" Amlong",1964,Rowing,Gold
6158,USA,"Thomas Kennedy ""Tom"" Amlong",1964,Rowing,Gold
6172,SUI,Simon Ammann,2002,Ski Jumping,Gold
6173,SUI,Simon Ammann,2002,Ski Jumping,Gold
6178,SUI,Simon Ammann,2010,Ski Jumping,Gold
6179,SUI,Simon Ammann,2010,Ski Jumping,Gold
6190,GER,Max Heinrich Ammermann,1900,Rowing,Bronze
6192,FRG,Otto Ammermann,1976,Equestrianism,Silver
6206,NGR,Daniel Owofin Amokachi,1996,Football,Gold
6214,USA,"Anthony Lewis ""Tony"" Amonte",2002,Ice Hockey,Silver
6217,GBR,Edward John Amoore,1908,Shooting,Gold
6218,GBR,Edward John Amoore,1908,Shooting,Bronze
6220,AUS,"Judith Florence ""Judy"" Amoore-Pollock",1964,Athletics,Bronze
6248,ESP,Vanessa Amors Quiles,2012,Handball,Bronze
6260,BOT,Nijel Carlos Amilfitano Amos,2012,Athletics,Silver
6266,URS,Zinaida Stepanovna Amosova (Shishkina-),1976,Cross Country Skiing,Gold
6268,SUI,Gustave Joseph Amoudruz,1920,Shooting,Bronze
6271,SUI,Gustave Joseph Amoudruz,1920,Shooting,Bronze
6275,ARM,Roman Amoyan,2008,Wrestling,Bronze
6280,GBR,Edgar Montague Amphlett,1908,Fencing,Silver
6286,GDR,Uwe Ampler,1988,Cycling,Gold
6301,GER,Franz Albert Amrhein,1900,Rugby,Silver
6304,TUN,Marwa Al-Amri,2016,Wrestling,Bronze
6316,FRA,Gaston Marcel Amson,1920,Fencing,Silver
6317,FRA,Gaston Marcel Amson,1920,Fencing,Bronze
6318,FRA,Gaston Marcel Amson,1928,Fencing,Silver
6338,CAN,Gail Amundrud (-Beattie),1976,Swimming,Bronze
6340,NOR,Arthur Martinius Amundsen,1908,Gymnastics,Silver
6341,NOR,Arthur Martinius Amundsen,1912,Gymnastics,Bronze
6350,NOR,Steinar Amundsen,1968,Canoeing,Gold
6351,NOR,Steinar Amundsen,1972,Canoeing,Bronze
6354,NGR,Emmanuel Amunike,1996,Football,Gold
6356,NGR,Stanley Amuzie,2016,Football,Bronze
6359,CAN,"Francis ""Frank"" Amyot",1936,Canoeing,Gold
6363,KOR,An Ba-Ul,2016,Judo,Silver
6364,KOR,An Byeong-Geun,1984,Judo,Gold
6375,KOR,An Dae-Hyeon,1988,Wrestling,Bronze
6383,KOR,An Han-Bong,1992,Wrestling,Gold
6387,KOR,An Jae-Hyeong,1988,Table Tennis,Bronze
6393,KOR,An Jeong-Hwa,2008,Handball,Bronze
6397,PRK,An Kum-Ae,2008,Judo,Silver
6398,PRK,An Kum-Ae,2012,Judo,Gold
6405,KOR,An Sang-Mi,1998,Short Track Speed Skating,Gold
6419,KOR,Viktor An,2006,Short Track Speed Skating,Bronze
6420,KOR,Viktor An,2006,Short Track Speed Skating,Gold
6421,KOR,Viktor An,2006,Short Track Speed Skating,Gold
6422,KOR,Viktor An,2006,Short Track Speed Skating,Gold
6423,RUS,Viktor An,2014,Short Track Speed Skating,Gold
6424,RUS,Viktor An,2014,Short Track Speed Skating,Gold
6425,RUS,Viktor An,2014,Short Track Speed Skating,Bronze
6426,RUS,Viktor An,2014,Short Track Speed Skating,Gold
6431,KOR,An Yeong-Su,1984,Boxing,Silver
6433,CHN,An Yulong,1998,Short Track Speed Skating,Silver
6435,CHN,An Yulong,1998,Short Track Speed Skating,Bronze
6436,CHN,An Yulong,2002,Short Track Speed Skating,Bronze
6437,CHN,An Zhongxin,1996,Softball,Silver
6440,BRA,Ana Flvia Chritaro Daniel Sanglard,1996,Volleyball,Bronze
6447,BRA,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),1996,Volleyball,Bronze
6466,CAN,"Douglas Thomas ""Doug"" Anakin",1964,Bobsleigh,Gold
6476,BUL,Borislav Ananiev,1980,Canoeing,Bronze
6482,BLR,Tatyana Vasilyevna Ananko,2000,Rhythmic Gymnastics,Silver
6497,ITA,Flavio Anastasia,1992,Cycling,Silver
6517,YUG,Svetlana Anastasovski-Obuina,1980,Handball,Silver
6518,YUG,Svetlana Anastasovski-Obuina,1984,Handball,Gold
6535,CRO,Mario Ani,2004,Tennis,Bronze
6541,NED,"Julius Theodoor ""Jules"" Ancion",1952,Hockey,Silver
6542,POL,Zygmunt Jzef Anczok,1972,Football,Gold
6557,FRA,milie Andol,2016,Judo,Gold
6558,SWE,Olle Henrik Martin Anderberg,1948,Wrestling,Silver
6559,SWE,Olle Henrik Martin Anderberg,1952,Wrestling,Gold
6574,SUI,"Stefan ""Steve"" Anderhub",2002,Bobsleigh,Silver
6582,USA,"Elizabeth Rambo ""Beth"" Anders",1984,Hockey,Bronze
6587,DEN,Aage Jrgen Christian Andersen,1906,Football,Gold
6591,NOR,Alf Steen Andersen,1928,Ski Jumping,Gold
6592,DEN,Anders Peter Andersen,1908,Wrestling,Bronze
6597,DEN,Anja Jul Andersen,1996,Handball,Gold
6598,DEN,Anne Dsane Andersen,2016,Rowing,Bronze
6599,NOR,Anne Nymark Andersen (-Rylandsholm),1996,Football,Bronze
6607,DEN,Axel Sigurd Andersen,1912,Gymnastics,Bronze
6612,DEN,Camilla Rseler Andersen,1996,Handball,Gold
6613,DEN,Camilla Rseler Andersen,2000,Handball,Gold
6614,DEN,Carl Andersen,1906,Gymnastics,Silver
6616,NOR,Carl Albert Andersen,1900,Athletics,Bronze
6618,NOR,Carl Albert Andersen,1906,Gymnastics,Gold
6619,NOR,Carl Albert Andersen,1908,Gymnastics,Silver
6621,DEN,Carl Rudolf Svend Andersen,1920,Gymnastics,Gold
6622,DEN,Carl-Ebbe Andersen,1948,Rowing,Gold
6642,DEN,Johan Frederik Kobberup Andersen,1948,Canoeing,Silver
6645,NOR,Frithjof Andersen,1920,Wrestling,Bronze
6652,DEN,"Greta Marie Andersen (-Sonnichsen, -Veress)",1948,Swimming,Gold
6654,DEN,"Greta Marie Andersen (-Sonnichsen, -Veress)",1948,Swimming,Silver
6674,NOR,Hjalmar Johan Andersen,1952,Speed Skating,Gold
6675,NOR,Hjalmar Johan Andersen,1952,Speed Skating,Gold
6676,NOR,Hjalmar Johan Andersen,1952,Speed Skating,Gold
6679,DEN,Hjalmart Nrregaard Andersen (-Eering),1912,Gymnastics,Bronze
6695,NOR,Jrgen Marius Andersen,1912,Gymnastics,Bronze
6696,NOR,Jrgen Marius Andersen,1920,Gymnastics,Silver
6702,NOR,Kjerstin Andersen,1988,Handball,Silver
6706,DEN,Kristine Andersen,2004,Handball,Gold
6711,NOR,Linda Widwey Andersen (-Cerup-Simonsen),1992,Sailing,Gold
6713,DEN,Mads Christian Kruse Andersen,2008,Rowing,Gold
6714,DEN,Peter Marius Andersen,1908,Football,Silver
6721,DEN,Niels Andersen,1912,Shooting,Bronze
6724,NOR,Nina Nymark Andersen (-Jakobsen),1996,Football,Bronze
6725,FIN,Ove Andersen,1928,Athletics,Bronze
6728,DEN,Peter Villemoes Andersen,1912,Gymnastics,Silver
6733,DEN,"Paul Kuhlman ""Poul"" Andersen",1960,Football,Silver
6735,NOR,Reidar Andersen,1936,Ski Jumping,Bronze
6748,NOR,Terje Andersen,1980,Speed Skating,Bronze
6752,DEN,Vigo Carl Andersen,1906,Football,Gold
6757,NOR,Grete Andersen-Waitz,1984,Athletics,Silver
6759,BRA,nderson Lus de Abreu Oliveira,2008,Football,Bronze
6760,BRA,Anderson de Oliveira Rodrigues,2004,Volleyball,Gold
6761,BRA,Anderson de Oliveira Rodrigues,2008,Volleyball,Silver
6763,USA,Alyssa Jean Anderson,2012,Swimming,Gold
6764,USA,Andrea Arlene Anderson (-Bolder),2000,Athletics,Gold
6771,USA,Brett Franklin Anderson,2008,Baseball,Bronze
6774,USA,Charles Howard Anderson,1948,Equestrianism,Gold
6780,AUS,Craig Anthony Anderson,2004,Baseball,Silver
6782,AUS,"David Rollo ""Dave"" Anderson",1952,Rowing,Bronze
6786,CAN,David Anderson,1960,Rowing,Silver
6794,USA,Gary Lee Anderson,1964,Shooting,Gold
6795,USA,Gary Lee Anderson,1968,Shooting,Gold
6798,NZL,Gary John Anderson,1992,Cycling,Bronze
6807,USA,Haley Danita Anderson,2012,Swimming,Silver
6812,USA,Jamie Louise Anderson,2014,Snowboarding,Gold
6817,CAN,Jasey-Jay Anderson,2010,Snowboarding,Gold
6827,USA,John Franklin Anderson,1932,Athletics,Gold
6830,AUS,John Edward Anderson,1972,Sailing,Gold
6853,USA,"Matthew John ""Matt"" Anderson",2016,Volleyball,Bronze
6855,USA,Miller Altman Anderson,1948,Diving,Silver
6856,USA,Miller Altman Anderson,1952,Diving,Silver
6862,GBR,Paul Richard Anderson,1968,Sailing,Bronze
6863,USA,Paul Edward Anderson,1956,Weightlifting,Gold
6872,AUS,John Scott Anderson,1984,Sailing,Bronze
6876,USA,"Stephen Eugene ""Steve"" Anderson",1928,Athletics,Silver
6879,AUS,"Thomas James ""Tom"" Anderson",1972,Sailing,Gold
6880,USA,"Osborne ""Ty"" Anderson",1932,Ice Hockey,Silver
6887,USA,Wendell Richard Anderson,1956,Ice Hockey,Silver
6888,CAN,"William ""Will"" Anderson",1908,Cycling,Bronze
6892,GBR,William Wallace Anderson,1900,Cricket,Silver
6893,GBR,William Harding Anderson,1924,Ice Hockey,Bronze
6896,USA,"William Lloyd ""Willie"" Anderson, Jr.",1988,Basketball,Bronze
6907,SWE,Agneta Monica Andersson,1984,Canoeing,Gold
6908,SWE,Agneta Monica Andersson,1984,Canoeing,Gold
6909,SWE,Agneta Monica Andersson,1984,Canoeing,Silver
6913,SWE,Agneta Monica Andersson,1992,Canoeing,Silver
6914,SWE,Agneta Monica Andersson,1992,Canoeing,Bronze
6915,SWE,Agneta Monica Andersson,1996,Canoeing,Gold
6916,SWE,Agneta Monica Andersson,1996,Canoeing,Bronze
6919,SWE,ke Gustav Andersson,1952,Ice Hockey,Bronze
6920,SWE,Albert Per Andersson,1920,Gymnastics,Gold
6925,SWE,ke Anders Andersson,1964,Ice Hockey,Silver
6931,SWE,Anders Wilhelm Andersson,1920,Shooting,Silver
6933,SWE,Anna Christina Andersson,2002,Ice Hockey,Bronze
6934,SWE,Karl Arvid Andersson (-Holtman),1920,Gymnastics,Gold
6935,SWE,Arvid Leander Andersson,1912,Tug-Of-War,Gold
6946,SWE,Bjarne Lennart Andersson,1968,Cross Country Skiing,Silver
6952,SWE,Cecilia Christine Elisabeth Andersson,2006,Ice Hockey,Silver
6965,SWE,Klas Erik Andersson,1920,Water Polo,Bronze
6973,SWE,Frank ivind Stefan Andersson,1984,Wrestling,Bronze
6978,SWE,Erik Gsta Andersson,1948,Wrestling,Gold
6979,SWE,Erik Gsta Andersson,1952,Wrestling,Silver
6982,SWE,Gunilla Victoria Andersson,2002,Ice Hockey,Bronze
6983,SWE,Gunilla Victoria Andersson,2006,Ice Hockey,Silver
6996,SWE,Svensk Hjalmar Zakeus Andersson,1912,Athletics,Silver
6997,SWE,Svensk Hjalmar Zakeus Andersson,1912,Athletics,Gold
7014,SWE,Jonna Andersson,2016,Football,Silver
7020,SWE,Kim Verner Andersson,2012,Handball,Silver
7042,SWE,Bo Leif Andersson,1992,Biathlon,Bronze
7060,SWE,Lina Marie Andersson,2006,Cross Country Skiing,Gold
7068,SWE,Per Magnus Andersson,1992,Handball,Silver
7069,SWE,Per Magnus Andersson,1996,Handball,Silver
7070,SWE,Per Magnus Andersson,2000,Handball,Silver
7077,SWE,Erik Mattias Andersson,2012,Handball,Silver
7079,SWE,Olof Mauritz Andersson,1908,Wrestling,Silver
7088,SWE,Bo Mikael Andersson,1988,Ice Hockey,Bronze
7104,SWE,Nils Peter Andersson,1988,Ice Hockey,Bronze
